id;ovservation;date
1;../fake-data/blob/hipster.txt;2020-11-21T07:06:34
2;../fake-data/blob/hipster.txt;2020-11-20T14:26:36
3;../fake-data/blob/hipster.txt;2020-11-21T10:33:03
4;../fake-data/blob/hipster.txt;2020-11-21T04:07:09
5;../fake-data/blob/hipster.txt;2020-11-20T15:56:46
6;../fake-data/blob/hipster.txt;2020-11-20T14:17:11
7;../fake-data/blob/hipster.txt;2020-11-21T10:59:42
8;../fake-data/blob/hipster.txt;2020-11-21T11:51:07
9;../fake-data/blob/hipster.txt;2020-11-20T22:20:37
10;../fake-data/blob/hipster.txt;2020-11-21T08:21:25
